src	idx	stem	s0_rc	s1_rc	s2_rc	s3_rc	s0_sha256	s1_sha256	s2_sha256	s3_sha256	class	diff
src/tests/21_goto.HC	45	21_goto	0	0	0	0	9feb3289777c8ba87b14df84b9c76eb90c04f00eaf6125eff5dac8f9f3c46a5b	9feb3289777c8ba87b14df84b9c76eb90c04f00eaf6125eff5dac8f9f3c46a5b	9feb3289777c8ba87b14df84b9c76eb90c04f00eaf6125eff5dac8f9f3c46a5b	9feb3289777c8ba87b14df84b9c76eb90c04f00eaf6125eff5dac8f9f3c46a5b	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/22_pointers.HC	46	22_pointers	0	0	0	0	6aa7b58d6465191c35d0e9834b8d7767ae9b828ab13b19df75358533ca796d57	6aa7b58d6465191c35d0e9834b8d7767ae9b828ab13b19df75358533ca796d57	6aa7b58d6465191c35d0e9834b8d7767ae9b828ab13b19df75358533ca796d57	6aa7b58d6465191c35d0e9834b8d7767ae9b828ab13b19df75358533ca796d57	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/23_mallocd-arrays.HC	47	23_mallocd-arrays	0	0	0	0	e95e26e1d0c43699ff16e7a89deceee7538d9532acee054c4f46978491a77c50	e95e26e1d0c43699ff16e7a89deceee7538d9532acee054c4f46978491a77c50	e95e26e1d0c43699ff16e7a89deceee7538d9532acee054c4f46978491a77c50	e95e26e1d0c43699ff16e7a89deceee7538d9532acee054c4f46978491a77c50	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/24_union.HC	48	24_union	0	0	0	0	e6f3ba2ac2d158cdfb65b344c1b01f6eecd417c4a68e63657fb182157a071b79	e6f3ba2ac2d158cdfb65b344c1b01f6eecd417c4a68e63657fb182157a071b79	e6f3ba2ac2d158cdfb65b344c1b01f6eecd417c4a68e63657fb182157a071b79	e6f3ba2ac2d158cdfb65b344c1b01f6eecd417c4a68e63657fb182157a071b79	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/25_scripting.HC	49	25_scripting	0	0	0	0	18909b104f8a203b550703da68857e586bbaf618c69a51799acb17363b290b26	18909b104f8a203b550703da68857e586bbaf618c69a51799acb17363b290b26	18909b104f8a203b550703da68857e586bbaf618c69a51799acb17363b290b26	18909b104f8a203b550703da68857e586bbaf618c69a51799acb17363b290b26	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/26_f64.HC	50	26_f64	0	0	0	0	d5199cadea8905e879a3af6798519fb0c61ab0aa52975a546db1d70d59f89a57	d5199cadea8905e879a3af6798519fb0c61ab0aa52975a546db1d70d59f89a57	d5199cadea8905e879a3af6798519fb0c61ab0aa52975a546db1d70d59f89a57	d5199cadea8905e879a3af6798519fb0c61ab0aa52975a546db1d70d59f89a57	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/27_auto.HC	51	27_auto	0	0	0	0	d1b45e511ff5996786e07f7bbafc479498fbeb5381a5d84c88daf293b377da7a	d1b45e511ff5996786e07f7bbafc479498fbeb5381a5d84c88daf293b377da7a	d1b45e511ff5996786e07f7bbafc479498fbeb5381a5d84c88daf293b377da7a	d1b45e511ff5996786e07f7bbafc479498fbeb5381a5d84c88daf293b377da7a	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/28_arrays.HC	52	28_arrays	0	0	0	0	cc0728dadf3875f517e8ec71d6c37abc2798fa1d075f9a1c8d9f36eadf6aff2e	cc0728dadf3875f517e8ec71d6c37abc2798fa1d075f9a1c8d9f36eadf6aff2e	cc0728dadf3875f517e8ec71d6c37abc2798fa1d075f9a1c8d9f36eadf6aff2e	cc0728dadf3875f517e8ec71d6c37abc2798fa1d075f9a1c8d9f36eadf6aff2e	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/29_macros.HC	53	29_macros	0	0	0	0	b7fde2aa804738cdb2df0f2806085f7295ad829fa5d47231095aba8ecca55313	b7fde2aa804738cdb2df0f2806085f7295ad829fa5d47231095aba8ecca55313	b7fde2aa804738cdb2df0f2806085f7295ad829fa5d47231095aba8ecca55313	b7fde2aa804738cdb2df0f2806085f7295ad829fa5d47231095aba8ecca55313	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/30_fzf.HC	54	30_fzf	0	0	0	0	512712fe19ff7fea81e9a2226194226a17f67a37a50c2799f41f6a70fb8b91a7	512712fe19ff7fea81e9a2226194226a17f67a37a50c2799f41f6a70fb8b91a7	512712fe19ff7fea81e9a2226194226a17f67a37a50c2799f41f6a70fb8b91a7	512712fe19ff7fea81e9a2226194226a17f67a37a50c2799f41f6a70fb8b91a7	BYTE_IDENTICAL_4	all-4-byte-identical
